id,domain,category,intent,language,question,answer,keywords,route,priority
C011,website,account,register,my,acc ဘယ်လိုဖွင့်ရမလဲ,Account ဖွင့်ဖို့ Register (`/register`) ကိုသွားပါ။ လိုအပ်တဲ့အချက်အလက်တွေကို ဖြည့်ပြီး registration ပြီးရင် Login (`/login`) ဝင်နိုင်ပါတယ်။,acc account register ဖွင့်,/register,100
C012,website,account,register,my,အကောင့်ဘယ်လိုလုပ်ရမလဲ,Register (`/register`) ကိုသွားပြီး account အချက်အလက်တွေကို ဖြည့်ပါ။ Registration အောင်မြင်ပြီးရင် `/login` မှာ sign in ဝင်နိုင်ပါတယ်။,အကောင့် အကောင့် account လုပ် register,/register,100
C020,insurance,life,life_insurance,my,အသက်အာမခံကဘာလဲ,"**အသက်အာမခံ (Life Insurance)** ဆိုတာ အာမခံထားသူအပေါ် သတ်မှတ်ထားတဲ့ insured event ဖြစ်လာတဲ့အခါ policy terms အရ beneficiary ကို ငွေကြေးအကျိုးခံစားခွင့်ပေးနိုင်ဖို့ ရည်ရွယ်ထားတဲ့အာမခံပါ။ Premium, coverage amount, policy term, exclusions နဲ့ beneficiary rules ကို plan တစ်ခုချင်းစီအလိုက်စစ်ရပါတယ်။",အသက်အာမခံ life insurance beneficiary death benefit,,100
C021,insurance,health,health_insurance,my,ကျန်းမာရေးအာမခံကဘာလဲ,"**ကျန်းမာရေးအာမခံ** ဆိုတာ policy terms အရ eligible medical expenses တွေ—ဥပမာ ဆေးရုံတက်ရောက်မှု၊ ကုသမှု သို့မဟုတ် ခွဲစိတ်မှု—ကို အကန့်အသတ်နဲ့ ကာကွယ်ပေးနိုင်တဲ့အာမခံပါ။ Waiting period, exclusions, network rules, deductible/copay နဲ့ claim process ကိုစစ်ပါ။",ကျန်းမာရေးအာမခံ health insurance medical hospital,,100
C022,insurance,motor,vehicle_insurance,my,ကားအာမခံကဘာလဲ,"**ကားအာမခံ (Vehicle/Motor Insurance)** ဆိုတာ မော်တော်ယာဉ်နဲ့ဆိုင်တဲ့ covered losses တွေအတွက် ငွေကြေးကာကွယ်မှု ပေးနိုင်တဲ့အာမခံပါ။ Policy ပေါ်မူတည်ပြီး accident damage, theft, fire နဲ့ third-party liability စတာတွေပါနိုင်ပါတယ်။ Coverage limits, deductible/excess, driver restrictions နဲ့ exclusions ကိုစစ်ရပါတယ်။",ကားအာမခံ car vehicle motor insurance accident,,100
C023,insurance,premium,premium,my,premium ဆိုတာဘာလဲ,"**Premium** ဆိုတာ အာမခံ coverage ကို active ဖြစ်နေစေဖို့ policyholder က သတ်မှတ်ထားတဲ့အချိန်အလိုက် insurer ကိုပေးသွင်းရတဲ့ အာမခံကြေးပါ။ ပမာဏက coverage, age/risk, policy type, term နဲ့ underwriting အချက်တွေအပေါ်မူတည်နိုင်ပါတယ်။",premium ပရီမီယံ အာမခံကြေး,,100
C024,insurance,coverage,coverage,my,coverage ဆိုတာဘာလဲ,**Coverage** ဆိုတာ policy က ဘယ်လိုဖြစ်ရပ်၊ ဆုံးရှုံးမှု သို့မဟုတ် ကုန်ကျစရိတ်တွေကို ဘယ်အတိုင်းအတာအထိ ကာကွယ်ပေးမလဲဆိုတာပါ။ Coverage limit နဲ့ exclusions ကို policy wording ထဲမှာစစ်ရပါတယ်။,coverage ကာကွယ်မှု limit,,100
C025,insurance,claim,claim,my,claim ဆိုတာဘာလဲ,**Claim** ဆိုတာ covered loss/event ဖြစ်လာတဲ့အခါ policy terms အရ အကျိုးခံစားခွင့် သို့မဟုတ် လျော်ကြေးရရှိဖို့ insurer ကို တရားဝင်တင်ပြတောင်းဆိုခြင်းပါ။ Supporting documents နဲ့ incident details တိကျဖို့လိုပါတယ်။,claim လျော်ကြေး ကလိမ်း,,100
C026,insurance,deductible,deductible,my,deductible ဆိုတာဘာလဲ,**Deductible** ဆိုတာ covered claim တစ်ခုမှာ insurer က သူ့အပိုင်းကိုမပေးခင် insured ဘက်က ကိုယ်တိုင်အရင်ခံရမယ့် သတ်မှတ်ပမာဏပါ။ Policy အားလုံးမှာ deductible မရှိပါဘူး။,deductible excess ကိုယ်တိုင်ပေး,,100
C027,insurance,exclusion,exclusion,my,exclusion ဆိုတာဘာလဲ,**Exclusion** ဆိုတာ policy က မကာကွယ်ပေးတဲ့ အခြေအနေ၊ ဖြစ်ရပ် သို့မဟုတ် loss ကိုဆိုလိုပါတယ်။ Policy မဝယ်ခင်နဲ့ claim မတင်ခင် exclusions ကိုသေချာဖတ်ပါ။,exclusion မပါဝင် not covered,,100
C028,insurance,beneficiary,beneficiary,my,beneficiary ဆိုတာဘာလဲ,**Beneficiary** ဆိုတာ policy benefit ကို လက်ခံရရှိဖို့ အမည်ပေးထားတဲ့ လူ သို့မဟုတ် အဖွဲ့အစည်းပါ။ Life insurance မှာ အရေးကြီးပြီး details ကိုမှန်ကန်စွာ update ထားသင့်ပါတယ်။,beneficiary အကျိုးခံစားခွင့်ရသူ,,100
C029,insurance,underwriting,underwriting,my,underwriting ဆိုတာဘာလဲ,"**Underwriting** ဆိုတာ insurer က applicant ရဲ့ risk ကိုအကဲဖြတ်ပြီး coverage, premium, limits သို့မဟုတ် acceptance terms တွေကိုဆုံးဖြတ်တဲ့လုပ်ငန်းစဉ်ပါ။",underwriting risk အန္တရာယ်အကဲဖြတ်,,100
C040,insurance,life,life_insurance,en,What is life insurance?,"Life insurance is designed to provide a financial benefit to a named beneficiary when a covered insured event occurs under the policy terms. Compare premiums, coverage amount, policy term, exclusions, beneficiary rules, and underwriting requirements.",life insurance beneficiary death benefit,,100
C041,insurance,health,health_insurance,en,What is health insurance?,"Health insurance can help cover eligible medical expenses under the policy terms, such as hospitalization, treatment, or surgery. Check limits, waiting periods, exclusions, network rules, deductibles/copays, and claims procedures.",health insurance medical hospital,,100
C042,insurance,motor,vehicle_insurance,en,What is car insurance?,"Vehicle or motor insurance provides financial protection for covered losses involving a vehicle. Depending on the policy, it may include accident damage, theft, fire, and third-party liability. Check limits, deductibles/excess, driver restrictions, and exclusions.",car vehicle motor insurance accident,,100
C043,insurance,premium,premium,en,What is an insurance premium?,"An insurance premium is the amount a policyholder pays at the agreed frequency to keep coverage active. It may vary based on coverage, risk, policy type, term, and underwriting factors.",premium insurance cost,,100
C044,insurance,claim,claim,en,What is an insurance claim?,An insurance claim is a formal request to the insurer for a benefit or payment after a covered event or loss. Accurate incident details and supporting documents are usually important.,claim insurance request loss,,100
G001,general,technology,ai,en,What is artificial intelligence?,"Artificial intelligence (AI) is the field of creating computer systems that can perform tasks that normally require human intelligence, such as understanding language, recognizing patterns, making predictions, and solving problems. AI systems learn or apply rules/models to process information and produce useful outputs.",artificial intelligence AI machine intelligence,,100
G002,general,technology,ai,my,artificial intelligence ဆိုတာဘာလဲ,"**Artificial Intelligence (AI)** ဆိုတာ လူသားဉာဏ်ရည်လိုအပ်လေ့ရှိတဲ့ language understanding, pattern recognition, prediction နဲ့ problem solving စတဲ့အလုပ်တွေကို ကွန်ပျူတာစနစ်တွေက လုပ်ဆောင်နိုင်အောင် ဖန်တီးတဲ့ နည်းပညာနယ်ပယ်ပါ။",artificial intelligence AI ဉာဏ်ရည်တု,,100
G003,general,technology,computer,en,What is a computer?,"A computer is an electronic device that receives data, processes it according to instructions, stores information, and produces output.",computer electronic device data,,100
G004,general,internet,website,en,What is a website?,A website is a collection of related web pages and resources published under a domain name and accessed through a web browser.,website web page internet browser,,100
G005,general,security,password,en,What is a strong password?,"A strong password is long, unique, and difficult to guess. Use a password manager when possible and avoid reusing the same password across services.",strong password security unique,,100
B001,business,customer_service,customer_service,en,What is good customer service?,"Good customer service means understanding the customer’s need, communicating clearly, resolving issues accurately and promptly, protecting customer data, and setting realistic expectations.",customer service support business,,100
B002,business,insurance_agent,agent,en,What does an insurance agent do?,"An insurance agent helps customers understand available insurance products, gather application information, explain policy terms, support renewals and claims communication, and follow the company’s authorized sales and compliance process.",insurance agent duties customer policy,,100
V100,website,register,register,my,acc ဖွင့်ချင်တယ်,Account ဖွင့်ဖို့ Register (`/register`) ကိုသွားပါ။ အမည်၊ email နဲ့ လိုအပ်တဲ့အချက်အလက်တွေကို မှန်ကန်စွာဖြည့်ပြီး account ဖန်တီးပါ။ ပြီးရင် Login (`/login`) ဝင်ပြီး Customer Dashboard ကိုသုံးနိုင်ပါတယ်။,account acc register create signup ဖွင့်,/register,95
V101,website,register,register,my,account create ဘယ်လိုလုပ်မလဲ,Account ဖွင့်ဖို့ Register (`/register`) ကိုသွားပါ။ အမည်၊ email နဲ့ လိုအပ်တဲ့အချက်အလက်တွေကို မှန်ကန်စွာဖြည့်ပြီး account ဖန်တီးပါ။ ပြီးရင် Login (`/login`) ဝင်ပြီး Customer Dashboard ကိုသုံးနိုင်ပါတယ်။,account acc register create signup ဖွင့်,/register,95
V102,website,register,register,my,အကောင့်ဖွင့်ချင်ပါတယ်,Account ဖွင့်ဖို့ Register (`/register`) ကိုသွားပါ။ အမည်၊ email နဲ့ လိုအပ်တဲ့အချက်အလက်တွေကို မှန်ကန်စွာဖြည့်ပြီး account ဖန်တီးပါ။ ပြီးရင် Login (`/login`) ဝင်ပြီး Customer Dashboard ကိုသုံးနိုင်ပါတယ်။,account acc register create signup ဖွင့်,/register,95
V103,website,forgot_password,forgot_password,my,password မေ့နေတယ်,"Login စာမျက်နှာ (`/login`) မှာ Forgot Password / Reset Password option ရှိရင် အဲဒီကနေ reset လုပ်ပါ။ မရှိသေးရင် Contact (`/contact`) ကနေ support ကိုဆက်သွယ်ပါ။ Password, OTP နဲ့ full card details ကို chat ထဲမပို့ပါနဲ့။",password forgot reset မေ့ စကားဝှက်,/login,95
V104,website,forgot_password,forgot_password,my,စကားဝှက်မေ့သွားပြီ,"Login စာမျက်နှာ (`/login`) မှာ Forgot Password / Reset Password option ရှိရင် အဲဒီကနေ reset လုပ်ပါ။ မရှိသေးရင် Contact (`/contact`) ကနေ support ကိုဆက်သွယ်ပါ။ Password, OTP နဲ့ full card details ကို chat ထဲမပို့ပါနဲ့။",password forgot reset မေ့ စကားဝှက်,/login,95
V105,website,forgot_password,forgot_password,my,forgot password ဘယ်လိုလုပ်မလဲ,"Login စာမျက်နှာ (`/login`) မှာ Forgot Password / Reset Password option ရှိရင် အဲဒီကနေ reset လုပ်ပါ။ မရှိသေးရင် Contact (`/contact`) ကနေ support ကိုဆက်သွယ်ပါ။ Password, OTP နဲ့ full card details ကို chat ထဲမပို့ပါနဲ့။",password forgot reset မေ့ စကားဝှက်,/login,95
V106,website,submit_claim,submit_claim,my,claim တင်ချင်တယ်,Login ဝင်ပြီး Dashboard → Claims → Submit Claim ကိုသွားပါ။ Active/approved policy ကိုရွေး၊ ဖြစ်ရပ်အချက်အလက်နဲ့ supporting documents ထည့်ပြီး Submit လုပ်ပါ။ ပြီးရင် Claims စာမျက်နှာကနေ status ကိုစစ်နိုင်ပါတယ်။,claim submit လျော်ကြေး တင်,/customer/claims,95
V107,website,submit_claim,submit_claim,my,လျော်ကြေးဘယ်လိုတောင်းရမလဲ,Login ဝင်ပြီး Dashboard → Claims → Submit Claim ကိုသွားပါ။ Active/approved policy ကိုရွေး၊ ဖြစ်ရပ်အချက်အလက်နဲ့ supporting documents ထည့်ပြီး Submit လုပ်ပါ။ ပြီးရင် Claims စာမျက်နှာကနေ status ကိုစစ်နိုင်ပါတယ်။,claim submit လျော်ကြေး တင်,/customer/claims,95
V108,website,submit_claim,submit_claim,my,claim submit လုပ်နည်း,Login ဝင်ပြီး Dashboard → Claims → Submit Claim ကိုသွားပါ။ Active/approved policy ကိုရွေး၊ ဖြစ်ရပ်အချက်အလက်နဲ့ supporting documents ထည့်ပြီး Submit လုပ်ပါ။ ပြီးရင် Claims စာမျက်နှာကနေ status ကိုစစ်နိုင်ပါတယ်။,claim submit လျော်ကြေး တင်,/customer/claims,95
V109,insurance,vehicle_insurance,vehicle_insurance,my,ကားအာမခံဆိုတာဘာလဲ,"**ကားအာမခံ (Vehicle/Motor Insurance)** ဆိုတာ မော်တော်ယာဉ်နဲ့ဆိုင်တဲ့ covered losses တွေအတွက် ငွေကြေးကာကွယ်မှု ပေးနိုင်တဲ့အာမခံပါ။ Policy ပေါ်မူတည်ပြီး accident damage, theft, fire နဲ့ third-party liability စတာတွေပါနိုင်ပါတယ်။ Coverage limits, deductible/excess, driver restrictions နဲ့ exclusions ကိုစစ်ရပါတယ်။",ကားအာမခံ car vehicle motor insurance,,95
V110,insurance,vehicle_insurance,vehicle_insurance,my,car insurance ကဘာလဲ,"**ကားအာမခံ (Vehicle/Motor Insurance)** ဆိုတာ မော်တော်ယာဉ်နဲ့ဆိုင်တဲ့ covered losses တွေအတွက် ငွေကြေးကာကွယ်မှု ပေးနိုင်တဲ့အာမခံပါ။ Policy ပေါ်မူတည်ပြီး accident damage, theft, fire နဲ့ third-party liability စတာတွေပါနိုင်ပါတယ်။ Coverage limits, deductible/excess, driver restrictions နဲ့ exclusions ကိုစစ်ရပါတယ်။",ကားအာမခံ car vehicle motor insurance,,95
V111,insurance,vehicle_insurance,vehicle_insurance,my,မော်တော်ယာဉ်အာမခံရှင်းပြပါ,"**ကားအာမခံ (Vehicle/Motor Insurance)** ဆိုတာ မော်တော်ယာဉ်နဲ့ဆိုင်တဲ့ covered losses တွေအတွက် ငွေကြေးကာကွယ်မှု ပေးနိုင်တဲ့အာမခံပါ။ Policy ပေါ်မူတည်ပြီး accident damage, theft, fire နဲ့ third-party liability စတာတွေပါနိုင်ပါတယ်။ Coverage limits, deductible/excess, driver restrictions နဲ့ exclusions ကိုစစ်ရပါတယ်။",ကားအာမခံ car vehicle motor insurance,,95
